region,gender,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,edu_comp,degree_year,eui,dist_cult,eoi,soc_media,st_heard_num,spell_uni_num,distinct_num,cdn_way_num,spell_num,st_heard_scaled,spell_uni_scaled,distinct_scaled,cdn_way_scaled,spell_scaled,slai
ON,female,Ontario,strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,no,,zed,very important,probably yes,probably not,probably yes,no,british english,sometimes,,no,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,undergraduate degree,i am not currently studying,5,yes ,4,24 hours,1,4,2,3,5,1,4,2.33333333333333,3.66666666666667,5,3.75
BC,female,British Columbia,strongly agree,probably yes,yes,extremely comfortable,important,that depends ,not sure,,both,important,probably yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,disagree,disagree,,neither disagree nor agree,definitely yes,19,canada,high school,first year,0,no,,12 hours,3,4,3,4,4,3,4,3.66666666666667,5,4,4.16666666666667
US,male,United States,agree,probably yes,no,,important,yes,no,,zee,neither unimportant nor important,probably yes,probably not,,yes ,no particular variety,sometimes,no,neither yes or no,probably yes,probably yes,strongly agree,agree,agree,agree,probably yes,69,united states,graduate degree,i am not currently studying,0,no,,24 hours,1,4,2,3,3,1,4,2.33333333333333,3.66666666666667,3,3.25
US,female,British Columbia,strongly agree,probably yes,no,,important,no,yes,yes i do know it is ,zee,neither unimportant nor important,definitely not,definitely not,probably yes,yes ,british english,sometimes,yes,definitely not,definitely yes,might or might not,strongly disagree,disagree,,,probably not,24,canada,high school,fourth year+,0,yes ,0,24 hours,5,1,1,2,3,5,1,1,2.33333333333333,3,1.83333333333333
BC,female,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,unimportant,that depends ,no,,zee,neither unimportant nor important,definitely not,definitely not,probably not,no,british english,sometimes,,yes,definitely yes,definitely yes,disagree,strongly disagree,strongly agree,strongly agree,probably yes,19,canada,high school,second year,4,yes ,9,24 hours,1,1,1,3,3,1,1,1,3.66666666666667,3,2.16666666666667
ON,female,British Columbia,strongly agree,definitely yes,yes,moderately uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,might or might not,strongly disagree,strongly disagree,strongly agree,strongly agree,definitely yes,74,canada,postgraduate degree,i am not currently studying,0,yes ,12,i dont use social media,5,3,4,4,3,5,3,5,5,3,4
ON,male,Ontario,strongly agree,probably not,no,,unimportant,that depends ,no,,both,neither unimportant nor important,probably yes,probably yes,probably yes,,british english,often,yes,yes,probably not,definitely yes,agree,neither disagree nor agree,neither disagree nor agree,disagree,probably yes,24,canada,high school,fourth year+,0,yes ,1,12 hours,1,4,3,3,3,1,4,3.66666666666667,3.66666666666667,3,3.58333333333333
BC,female,British Columbia,agree,probably yes,yes,extremely uncomfortable,unimportant,yes,no,,zed,unimportant,probably not,probably not,definitely not,yes ,british english,rarely,yes,yes,definitely yes,probably yes,strongly agree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,2,no,,46 hours,1,2,2,3,2,1,2,2.33333333333333,3.66666666666667,2,2.5
BC,male,British Columbia,somewhat agree,definitely not,no,,unimportant,yes,yes,yes but i cant describe it well,zee,very unimportant,definitely not,definitely not,definitely not,,british english,rarely,yes,definitely not,definitely not,probably yes,strongly agree,strongly disagree,,strongly disagree,definitely not,24,canada,high school,third year,0,no,,12 hours,5,1,1,1,1,5,1,1,1,1,1
UK,female,Ontario,strongly agree,probably yes,no,,important,yes,no,,zed,unimportant,probably yes,,probably yes,no,no particular variety,,yes,yes,definitely yes,probably yes,agree,disagree,neither disagree nor agree,disagree,probably not,59,canada,postgraduate degree,i am not currently studying,0,yes ,11,less than 30 minutes,1,4,,2,2,1,4,,2.33333333333333,2,2.77777777777778
ON,male,Ontario,strongly agree,neutral,yes,neither comfortable nor uncomfortable,unimportant,yes,no,,zed,unimportant,probably not,probably not,probably yes,yes ,british english,always,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,59,canada,undergraduate degree,i am not currently studying,0,yes ,0,less than 30 minutes,1,2,2,3,2,1,2,2.33333333333333,3.66666666666667,2,2.5
US,female,United States,agree,,yes,does not apply to me ,important,yes,no,,zee,important,probably yes,probably yes,probably not,no,british english,sometimes,yes,no,probably yes,probably yes,neither disagree nor agree,disagree,strongly agree,disagree,probably yes,24,united states,high school,fourth year+,2,no,,46 hours,1,4,3,3,4,1,4,3.66666666666667,3.66666666666667,4,3.83333333333333
ON,male,Ontario,agree,probably yes,no,,important,no,yes,yes but i cant describe it well,both,important,probably yes,probably yes,,yes ,british english,often,yes,yes,definitely yes,probably yes,agree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,29,canada,high school,i am not currently studying,0,yes ,7,12 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
BC,female,British Columbia,strongly agree,probably not,no,,important,yes,not sure,,zee,neither unimportant nor important,probably yes,probably not,,yes ,british english,rarely,yes,no,probably yes,definitely yes,agree,neither disagree nor agree,strongly agree,disagree,probably not,34,canada,postgraduate degree,i am not currently studyingi am in a graduate program,0,no,,46 hours,3,4,2,2,3,3,4,2.33333333333333,2.33333333333333,3,2.91666666666667
BC,male,British Columbia,strongly agree,probably yes,yes,neither comfortable nor uncomfortable,unimportant,no,no,,zee,unimportant,probably not,probably not,definitely not,,no particular variety,often,,no,probably yes,definitely yes,neither disagree nor agree,strongly disagree,agree,neither disagree nor agree,probably not,24,canada,high school,third year,2,yes ,8,24 hours,1,2,2,2,2,1,2,2.33333333333333,2.33333333333333,2,2.16666666666667
QC,female,Quebec,agree,probably yes,yes,neither comfortable nor uncomfortable,important,yes,no,,both,neither unimportant nor important,might or might not,probably yes,probably not,,no particular variety,sometimes,,,definitely yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,29,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,1,3,3,3,3,1,3,3.66666666666667,3.66666666666667,3,3.33333333333333
ON,male,other,strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,might or might not,probably yes,definitely not,yes ,british english,sometimes,,definitely yes,might or might not,probably yes,agree,agree,,agree,probably yes,29,romania,postgraduate degree,i am in a graduate program,9,yes ,1,24 hours,5,3,3,3,4,5,3,3.66666666666667,3.66666666666667,4,3.58333333333333
BC,male,British Columbia,strongly agree,definitely not,no,,extremely unimportant,no,yes,yes i do know it is ,zee,very unimportant,definitely not,definitely not,definitely not,no,no particular variety,sometimes,yes,no,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,strongly disagree,probably yes,24,canada,high school,fourth year+,0,yes ,6,less than 30 minutes,5,1,1,3,1,5,1,1,3.66666666666667,1,1.66666666666667
US,male,United States,strongly agree,,no,,,that depends ,yes,yes but i cant describe it well,zee,,,probably yes,probably not,,no particular variety,often,no,definitely not,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,29,united states,graduate degree,fourth year+i am in a graduate program,0,yes ,4,30 minutes to 1 hour,5,,3,3,,5,,3.66666666666667,3.66666666666667,,3.66666666666667
US,male,United States,,probably yes,no,,extremely unimportant,no,no,,zee,neither unimportant nor important,might or might not,probably not,,no,no particular variety,sometimes,no,no,definitely yes,probably yes,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,united states,high school,second year,0,yes ,8,more than 8 hours,1,3,2,3,3,1,3,2.33333333333333,3.66666666666667,3,3
ON,female,Quebec,strongly agree,probably not,yes,extremely comfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,probably not,probably yes,yes ,british english,sometimes,,definitely yes,might or might not,probably yes,strongly agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,54,canada,postgraduate degree,i am not currently studying,1,yes ,12,30 minutes to 1 hour,5,4,2,3,4,5,4,2.33333333333333,3.66666666666667,4,3.5
UK,female,Prince Edward Island,strongly agree,probably yes,no,,,that depends ,no,,both,unimportant,probably not,probably yes,,yes ,british english,rarely,no,,probably yes,probably yes,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,74,canada,high school,i am not currently studying,0,yes ,9,30 minutes to 1 hour,1,2,3,3,2,1,2,3.66666666666667,3.66666666666667,2,2.83333333333333
PE,female,Prince Edward Island,strongly agree,probably yes,yes,moderately comfortable,important,that depends ,no,,both,unimportant,,probably not,probably not,no,no particular variety,sometimes,no,no,definitely yes,might or might not,strongly agree,,neither disagree nor agree,neither disagree nor agree,probably not,69,canada,high school,i am not currently studying,1,yes ,4,12 hours,1,,2,2,2,1,,2.33333333333333,2.33333333333333,2,2.22222222222222
BC,male,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,no,not sure,,zed,neither unimportant nor important,definitely yes,probably not,definitely not,,british english,rarely,yes,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,disagree,agree,disagree,probably not,19,canada,elementary school,i am not currently studying,3,no,,24 hours,3,5,2,2,3,3,5,2.33333333333333,2.33333333333333,3,3.16666666666667
ON,female,Ontario,strongly agree,definitely yes,yes,extremely comfortable,important,no,no,,both,unimportant,probably yes,definitely yes,,yes ,british english,often,yes,no,definitely yes,probably yes,disagree,disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,24,canada,high school,fourth year+,2,yes ,5,30 minutes to 1 hour,1,4,4,4,2,1,4,5,5,2,4
ON,female,Ontario,strongly agree,probably yes,yes,extremely comfortable,important,no,not sure,,zee,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,no,no,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably not,24,canada,undergraduate degree,i am not currently studying,4,yes ,12,24 hours,3,2,3,2,3,3,2,3.66666666666667,2.33333333333333,3,2.75
ON,female,Ontario,agree,neutral,no,,important,no,no,,zee,important,probably yes,probably yes,probably not,yes ,no particular variety,rarely,yes,definitely yes,might or might not,probably yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably not,24,canada,high school,fourth year+,1,yes ,0,46 hours,1,4,3,2,4,1,4,3.66666666666667,2.33333333333333,4,3.5
ON,male,Ontario,strongly agree,probably yes,no,,important,no,no,,zed,very unimportant,definitely not,definitely not,,no,british english,never,,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,disagree,agree,agree,probably not,24,canada,high school,third year,0,yes ,6,less than 30 minutes,1,1,1,2,1,1,1,1,2.33333333333333,1,1.33333333333333
US,male,Ontario,strongly agree,probably not,no,,extremely unimportant,that depends ,no,,zee,unimportant,might or might not,probably yes,,no,british english,never,no,neither yes or no,definitely yes,probably yes,strongly agree,disagree,,neither disagree nor agree,probably not,24,canada,undergraduate degree,i am not currently studying,0,yes ,,12 hours,1,3,3,2,2,1,3,3.66666666666667,2.33333333333333,2,2.75
BC,female,British Columbia,agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,probably yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,probably yes,69,canada,postgraduate degree,i am not currently studying,0,yes ,8,i dont use social media,5,5,3,3,4,5,5,3.66666666666667,3.66666666666667,4,4.08333333333333
BC,male,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,,no,,zee,neither unimportant nor important,probably not,probably not,probably yes,,no particular variety,rarely,,neither yes or no,probably yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,disagree,definitely not,19,canada,elementary school,i am not currently studying,4,yes ,,24 hours,1,2,2,1,3,1,2,2.33333333333333,1,3,2.08333333333333
BC,female,Ontario,strongly agree,probably yes,yes,moderately uncomfortable,,yes,yes,yes i do know it is ,zed,important,probably not,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,strongly agree,disagree,definitely yes,24,canada,undergraduate degree,first yeari am in a graduate program,2,yes ,2,24 hours,5,2,4,4,4,5,2,5,5,4,4
BC,female,British Columbia,strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,important,that depends ,yes,yes but i cant describe it well,zed,very important,might or might not,definitely yes,probably not,yes ,american english,sometimes,yes,definitely yes,probably yes,might or might not,neither disagree nor agree,disagree,agree,neither disagree nor agree,probably yes,24,canada,high school,fourth year+,3,yes ,4,more than 8 hours,5,3,4,3,5,5,3,5,3.66666666666667,5,4.16666666666667
US,male,Ontario,somewhat agree,probably not,yes,extremely uncomfortable,unimportant,,not sure,yes but i cant describe it well,both,unimportant,probably not,probably not,,,british english,never,yes,no,probably not,might or might not,disagree,disagree,disagree,disagree,probably not,19,canada,elementary school,i am not currently studying,0,yes ,0,less than 30 minutes,3,2,2,2,2,3,2,2.33333333333333,2.33333333333333,2,2.16666666666667
US,other,United States,agree,probably yes,yes,moderately uncomfortable,,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,,,no,no particular variety,sometimes,yes,neither yes or no,might or might not,probably yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,24,united states,high school,fourth year+,10,yes ,7,46 hours,5,3,,3,3,5,3,,3.66666666666667,3,3.22222222222222
BC,female,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,both,important,probably yes,probably yes,probably not,yes ,no particular variety,,yes,neither yes or no,probably yes,definitely yes,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,undergraduate degree,fourth year+,7,yes ,6,12 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
BC,other,British Columbia,agree,definitely yes,yes,extremely comfortable,important,no,not sure,yes but i cant describe it well,zee,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,agree,probably yes,24,canada,undergraduate degree,fourth year+,9,yes ,8,12 hours,3,5,4,3,4,3,5,5,3.66666666666667,4,4.41666666666667
BC,female,British Columbia,strongly agree,probably yes,yes,moderately uncomfortable,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,definitely not,yes ,british english,often,no,no,probably yes,probably yes,disagree,strongly disagree,agree,disagree,probably yes,59,canada,postgraduate degree,i am not currently studying,0,no,,i dont use social media,5,2,3,3,3,5,2,3.66666666666667,3.66666666666667,3,3.08333333333333
BC,other,British Columbia,agree,probably yes,no,,,,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,probably yes,probably not,no,no particular variety,rarely,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,high school,third year,0,yes ,4,24 hours,5,3,3,3,3,5,3,3.66666666666667,3.66666666666667,3,3.33333333333333
BC,male,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,probably not,probably yes,yes ,no particular variety,never,yes,neither yes or no,might or might not,definitely yes,agree,neither disagree nor agree,,agree,probably yes,34,canada,postgraduate degree,i am not currently studying,6,yes ,11,24 hours,5,3,2,3,3,5,3,2.33333333333333,3.66666666666667,3,3
BC,female,British Columbia,somewhat agree,probably not,yes,extremely comfortable,unimportant,that depends ,no,,zed,unimportant,definitely not,probably not,probably yes,no,no particular variety,rarely,yes,neither yes or no,probably not,might or might not,disagree,disagree,agree,disagree,probably not,24,canada,high school,fourth year+,5,yes ,7,46 hours,1,1,2,2,2,1,1,2.33333333333333,2.33333333333333,2,1.91666666666667
AB,other,British Columbia,strongly agree,probably not,yes,extremely comfortable,unimportant,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,definitely yes,definitely not,no,british english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,disagree,agree,agree,probably yes,24,canada,high school,third year,2,no,,12 hours,5,2,4,3,3,5,2,5,3.66666666666667,3,3.41666666666667
ON,male,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,unimportant,no,yes,yes but i cant describe it well,both,very unimportant,might or might not,probably yes,probably not,,no particular variety,sometimes,yes,no,probably yes,probably not,disagree,disagree,,strongly agree,probably yes,24,canada,high school,fourth year+,6,yes ,2,24 hours,5,3,3,3,1,5,3,3.66666666666667,3.66666666666667,1,2.83333333333333
BC,female,British Columbia,strongly agree,probably yes,no,,unimportant,yes,yes,yes but i cant describe it well,both,unimportant,definitely not,probably yes,definitely not,yes ,british english,rarely,no,neither yes or no,probably not,probably yes,disagree,disagree,agree,disagree,probably yes,24,canada,high school,fourth year+,0,yes ,15,46 hours,5,1,3,3,2,5,1,3.66666666666667,3.66666666666667,2,2.58333333333333
BC,female,British Columbia,strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,both,important,definitely yes,probably yes,,no,no particular variety,sometimes,yes,neither yes or no,definitely not,probably yes,disagree,strongly disagree,agree,neither disagree nor agree,probably yes,14,canada,elementary school,i am not currently studying,4,yes ,12,24 hours,5,5,3,3,4,5,5,3.66666666666667,3.66666666666667,4,4.08333333333333
ON,male,British Columbia,agree,probably yes,yes,moderately comfortable,unimportant,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably not,probably yes,no,other ,often,yes,yes,probably yes,probably yes,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,probably not,24,canada,high school,first year,2,no,,i dont use social media,5,4,2,2,3,5,4,2.33333333333333,2.33333333333333,3,2.91666666666667
ON,female,Ontario,agree,probably yes,yes,extremely comfortable,extremely important,that depends ,no,,zed,unimportant,definitely not,probably not,probably not,no,british english,never,yes,,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,high school,second year,4,yes ,7,12 hours,1,1,2,3,2,1,1,2.33333333333333,3.66666666666667,2,2.25
BC,female,British Columbia,strongly agree,probably yes,yes,neither comfortable nor uncomfortable,important,yes,yes,yes but i cant describe it well,both,important,might or might not,definitely yes,probably not,no,american english,rarely,yes,no,definitely yes,definitely yes,agree,disagree,strongly agree,strongly agree,probably yes,19,canada,high school,second year,2,no,,24 hours,5,3,4,3,4,5,3,5,3.66666666666667,4,3.91666666666667
ON,male,Prince Edward Island,strongly agree,definitely yes,yes,extremely comfortable,,no,no,,both,very unimportant,definitely not,probably yes,definitely not,no,no particular variety,rarely,,neither yes or no,definitely yes,definitely yes,strongly disagree,strongly disagree,neither disagree nor agree,agree,probably yes,44,canada,undergraduate degree,i am not currently studying,3,no,,less than 30 minutes,1,1,3,3,1,1,1,3.66666666666667,3.66666666666667,1,2.33333333333333
ON,female,Prince Edward Island,agree,definitely yes,yes,neither comfortable nor uncomfortable,extremely important,no,yes,yes but i cant describe it well,both,important,probably yes,definitely yes,definitely not,yes ,british english,always,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,agree,definitely yes,29,canada,postgraduate degree,first yeari am in a graduate program,0,yes ,8,30 minutes to 1 hour,5,4,4,4,4,5,4,5,5,4,4.5
US,other,British Columbia,strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,might or might not,definitely yes,definitely not,,british english,often,yes,definitely yes,definitely yes,definitely yes,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,24,canada,high school,fourth year+,3,yes ,3,30 minutes to 1 hour,5,3,4,4,4,5,3,5,5,4,4.25
US,male,Manitoba,somewhat agree,neutral,no,,extremely important,that depends ,not sure,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,definitely yes,39,canada,graduate degree,i am not currently studying,0,yes ,9,24 hours,3,4,4,4,4,3,4,5,5,4,4.5
US,female,Ontario,strongly agree,probably not,no,,extremely important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,probably not,probably not,yes ,british english,rarely,yes,definitely yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,49,canada,graduate degree,i am not currently studying,0,no,,12 hours,5,5,2,3,5,5,5,2.33333333333333,3.66666666666667,5,4
ON,female,Quebec,strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes i do know it is ,zee,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,agree,agree,agree,agree,definitely yes,54,canada,postgraduate degree,i am not currently studying,6,no,,less than 30 minutes,5,5,4,4,4,5,5,5,5,4,4.75
BC,female,British Columbia,strongly agree,probably yes,yes,moderately comfortable,extremely important,that depends ,not sure,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,definitely not,probably not,,british english,sometimes,no,no,probably yes,definitely yes,agree,disagree,neither disagree nor agree,neither disagree nor agree,probably not,19,canada,elementary school,i am not currently studying,1,yes ,6,46 hours,3,3,1,2,3,3,3,1,2.33333333333333,3,2.33333333333333
PE,male,Prince Edward Island,strongly agree,neutral,no,,extremely important,no,yes,yes i do know it is ,zed,important,definitely yes,definitely yes,definitely not,,british english,rarely,yes,yes,might or might not,probably not,agree,agree,disagree,neither disagree nor agree,definitely yes,29,canada,high school,i am not currently studying,0,no,,12 hours,5,5,4,4,4,5,5,5,5,4,4.75
NB,female,New Brunswick,strongly agree,probably not,no,,unimportant,that depends ,no,,both,neither unimportant nor important,might or might not,probably yes,probably not,no,british english,rarely,yes,,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,34,canada,undergraduate degree,i am not currently studying,1,yes ,1,24 hours,1,3,3,3,3,1,3,3.66666666666667,3.66666666666667,3,3.33333333333333
ON,male,New Brunswick,strongly agree,probably yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,important,definitely yes,definitely yes,probably not,yes ,other ,often,yes,no,definitely yes,definitely yes,agree,agree,neither disagree nor agree,disagree,probably yes,44,canada,postgraduate degree,i am not currently studying,4,yes ,12,12 hours,5,5,4,3,4,5,5,5,3.66666666666667,4,4.41666666666667
NS,male,Prince Edward Island,agree,neutral,yes,moderately uncomfortable,,no,yes,yes but i cant describe it well,both,unimportant,definitely yes,probably not,definitely not,,british english,often,yes,yes,probably yes,probably yes,agree,disagree,agree,neither disagree nor agree,,39,canada,graduate degree,i am not currently studying,0,yes ,8,30 minutes to 1 hour,5,5,2,,2,5,5,2.33333333333333,,2,3.11111111111111
BC,female,British Columbia,somewhat agree,probably yes,yes,moderately comfortable,important,yes,not sure,,both,neither unimportant nor important,probably yes,probably not,probably yes,yes ,canadian english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,disagree,probably not,14,canada,elementary school,i am not currently studying,3,no,,46 hours,3,4,2,2,3,3,4,2.33333333333333,2.33333333333333,3,2.91666666666667
ON,other,British Columbia,strongly agree,definitely yes,no,,important,that depends ,not sure,yes i do know it is ,both,important,definitely yes,probably yes,definitely not,yes ,british english,often,yes,,definitely yes,probably yes,strongly disagree,strongly disagree,strongly agree,agree,probably yes,29,canada,undergraduate degree,i am not currently studying,0,yes ,6,12 hours,3,5,3,3,4,3,5,3.66666666666667,3.66666666666667,4,4.08333333333333
BC,female,British Columbia,agree,probably yes,yes,moderately uncomfortable,important,that depends ,not sure,,both,unimportant,probably yes,probably yes,probably not,yes ,jamaican english,sometimes,yes,definitely yes,definitely yes,probably not,neither disagree nor agree,neither disagree nor agree,,disagree,probably not,19,canada,elementary school,i am not currently studying,4,no,,68 hours,3,4,3,2,2,3,4,3.66666666666667,2.33333333333333,2,3
US,female,United States,somewhat disagree,definitely yes,yes,extremely comfortable,important,yes,not sure,,zee,very unimportant,definitely not,definitely not,,,british english,never,no,definitely not,definitely yes,probably yes,agree,strongly disagree,strongly disagree,neither disagree nor agree,definitely not,34,united states,high school,i am not currently studying,0,yes ,8,68 hours,3,1,1,1,1,3,1,1,1,1,1
ON,other,British Columbia,strongly agree,neutral,yes,moderately comfortable,,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,,probably not,no,no particular variety,sometimes,yes,neither yes or no,probably yes,probably yes,disagree,disagree,agree,disagree,probably not,24,canada,undergraduate degree,i am in a graduate program,4,yes ,6,30 minutes to 1 hour,5,3,,2,3,5,3,,2.33333333333333,3,2.77777777777778
NS,male,New Brunswick,strongly agree,neutral,no,,unimportant,that depends ,no,,both,important,definitely yes,probably not,definitely not,yes ,singaporean english,often,yes,yes,probably yes,might or might not,neither disagree nor agree,neither disagree nor agree,agree,disagree,definitely not,34,canada,undergraduate degree,i am not currently studying,0,yes ,11,30 minutes to 1 hour,1,5,2,1,4,1,5,2.33333333333333,1,4,3.08333333333333
BC,male,British Columbia,strongly agree,neutral,yes,extremely comfortable,,yes,yes,yes but i cant describe it well,zed,very unimportant,definitely not,probably yes,probably yes,no,no particular variety,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,strongly disagree,agree,neither disagree nor agree,probably yes,29,canada,undergraduate degree,i am not currently studying,4,yes ,4,30 minutes to 1 hour,5,1,3,3,1,5,1,3.66666666666667,3.66666666666667,1,2.33333333333333
NB,female,New Brunswick,strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes i do know it is ,zed,very important,probably yes,probably yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,29,canada,graduate degree,i am not currently studying,2,no,,24 hours,5,4,3,3,5,5,4,3.66666666666667,3.66666666666667,5,4.08333333333333
ON,female,New Brunswick,strongly agree,probably yes,no,,extremely unimportant,yes,yes,yes i do know it is ,both,very unimportant,definitely yes,definitely yes,definitely not,,,always,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,strongly agree,probably yes,39,canada,graduate degree,i am not currently studying,0,no,,46 hours,5,5,4,3,1,5,5,5,3.66666666666667,1,3.66666666666667
PE,male,Prince Edward Island,strongly agree,neutral,yes,moderately comfortable,important,that depends ,no,,zed,important,probably yes,probably yes,probably not,,british english,always,yes,yes,definitely yes,probably yes,strongly agree,disagree,neither disagree nor agree,disagree,probably yes,34,canada,graduate degree,i am in a graduate program,0,no,,i dont use social media,1,4,3,3,4,1,4,3.66666666666667,3.66666666666667,4,3.83333333333333
ON,female,Ontario,agree,probably yes,no,,unimportant,yes,no,,zed,neither unimportant nor important,probably yes,,,yes ,no particular variety,rarely,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,strongly disagree,probably yes,19,canada,elementary school,other degree ,0,no,,46 hours,1,4,,3,3,1,4,,3.66666666666667,3,3.55555555555556
PE,male,Nova Scotia,strongly agree,probably not,no,,unimportant,that depends ,,yes but i cant describe it well,zee,unimportant,probably not,definitely not,definitely not,,british english,sometimes,yes,no,definitely yes,probably yes,neither disagree nor agree,disagree,strongly agree,strongly disagree,definitely yes,24,canada,high school,third year,0,no,,12 hours,,2,1,4,2,,2,1,5,2,2.5
ON,male,Ontario,agree,probably not,yes,moderately comfortable,unimportant,,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,,,no,no particular variety,sometimes,no,no,probably yes,definitely not,strongly disagree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably not,29,canada,graduate degree,i am not currently studying,0,yes ,2,less than 30 minutes,5,3,,2,3,5,3,,2.33333333333333,3,2.77777777777778
